Level,Part Number,Description,Details,Revision,Standard Cost,Quantity,UPC,UOM,Weight,Width,Height,Length,Vendor,Vendor Number,Vendor Cost
1,PROD-1000,Widget Assembly,"Complete widget with mounting bracket",A,,,1,ea,2.5,10,8,15,,,
1.1,SUB-1001,Motor Assembly,"12V DC motor with housing",A,,,1,ea,1.2,5,5,8,,,
1.1.1,MOTOR-500,DC Motor 12V,"High efficiency brushless motor",B,,,1,ea,0.8,4,4,6,Acme Motors,MTR-12V-500,45.00
1.1.2,HOUS-100,Motor Housing,"Aluminum housing for motor",A,,,1,ea,0.3,5,5,8,MetalWorks,HSG-AL-100,12.50
1.1.3,BOLT-M4,M4 Bolt 20mm,"Stainless steel mounting bolt",A,,,4,ea,0.01,,,20,Fasteners Inc,BLT-M4-20,0.25
1.1.4,NUT-M4,M4 Hex Nut,"Stainless steel hex nut",A,,,4,ea,0.005,,,,,Fasteners Inc,NUT-M4-SS,0.15
1.2,BRACKET-200,Mounting Bracket,"Steel L-bracket for assembly",A,,,2,ea,0.5,10,8,2,MetalWorks,BRK-L-200,8.75
1.3,WIRE-50,Power Wire 18AWG,"Red/black power wire pair",A,,,1.5,ft,0.05,,,18,Electrical Supply,WIRE-18-RB,1.50
1.4,CONN-300,Power Connector,"2-pin molex connector",A,,,1,ea,0.02,2,1.5,3,Electrical Supply,CONN-2PIN,3.25
2,PROD-2000,Gadget Assembly,"Dual motor gadget system",A,,,1,ea,5.0,15,12,20,,,
2.1,SUB-1001,Motor Assembly,"12V DC motor with housing",A,,,2,ea,1.2,5,5,8,,,
2.2,CONTROL-400,Controller Board,"Microcontroller PCB assembly",A,,,1,ea,0.15,8,6,0.2,ElectroTech,CTRL-MICRO-1,35.00
2.3,CASE-500,Enclosure,"Plastic injection molded case",A,,,1,ea,0.8,15,12,8,PlasticCo,CASE-ABS-500,22.00
2.3.1,LID-501,Enclosure Lid,"Top lid with vents",A,,,1,ea,0.2,15,12,1,PlasticCo,LID-ABS-501,8.50
2.3.2,BASE-502,Enclosure Base,"Bottom base with feet",A,,,1,ea,0.3,15,12,2,PlasticCo,BASE-ABS-502,10.00
2.3.3,SCREW-PH,Phillips Screw M3,"M3 x 12mm phillips screw",A,,,6,ea,0.008,,,12,Fasteners Inc,SCR-PH-M3-12,0.18
2.4,WIRE-50,Power Wire 18AWG,"Red/black power wire pair",A,,,3,ft,0.05,,,18,Electrical Supply,WIRE-18-RB,1.50
